countrycode,countryname,region,region_iso2,regionname,adminregion,adminregion_iso2,adminregionname,incomelevel,incomelevel_iso2,incomelevelname,lendingtype,lendingtype_iso2,lendingtypename,cmu
MDA,Moldova,ECS,Z7,Europe and Central Asia,ECA,7E,Europe and Central Asia (excluding high income),LMC,XN,Lower middle income,IDB,XH,Blend,ECCEE
MDG,Madagascar,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,AFCS2
MDV,Maldives,SAS,8S,South Asia,SAS,8S,South Asia (excluding high income),UMC,XT,Upper middle income,IDX,XI,IDA,SACSN
MEX,Mexico,LCN,ZJ,Latin America and Caribbean,LAC,XJ,Latin America and Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,LCC1C
MHL,Marshall Islands,EAS,Z4,East Asia and Pacific,EAP,4E,East Asia and Pacific (excluding high income),UMC,XT,Upper middle income,IDX,XI,IDA,EACNF
MKD,North Macedonia,ECS,Z7,Europe and Central Asia,ECA,7E,Europe and Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,ECCWB
MLI,Mali,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,AFCW3
MLT,Malta,MEA,ZQ,Middle East and North Africa,,,,HIC,XD,High income,LNX,XX,Not classified,MNC01
MMR,Myanmar,EAS,Z4,East Asia and Pacific,EAP,4E,East Asia and Pacific (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,EACMM
MNE,Montenegro,ECS,Z7,Europe and Central Asia,ECA,7E,Europe and Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,ECCWB
MNG,Mongolia,EAS,Z4,East Asia and Pacific,EAP,4E,East Asia and Pacific (excluding high income),LMC,XN,Lower middle income,IDB,XH,Blend,EACCF
MNP,Northern Mariana Islands,EAS,Z4,East Asia and Pacific,,,,HIC,XD,High income,LNX,XX,Not classified,
MOZ,Mozambique,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,AFCS2
MRT,Mauritania,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,AFCF1
MUS,Mauritius,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,AFCS2
MWI,Malawi,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,AFCE1
MYS,Malaysia,EAS,Z4,East Asia and Pacific,EAP,4E,East Asia and Pacific (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,EACPF
NAM,Namibia,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,AFCS1
NCL,New Caledonia,EAS,Z4,East Asia and Pacific,,,,HIC,XD,High income,LNX,XX,Not classified,
NER,Niger,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,AFCW3
NGA,Nigeria,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDB,XH,Blend,AFCW2
NIC,Nicaragua,LCN,ZJ,Latin America and Caribbean,LAC,XJ,Latin America and Caribbean (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,LCC2C
NLD,Netherlands,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,LNX,XX,Not classified,
NOR,Norway,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,LNX,XX,Not classified,
NPL,Nepal,SAS,8S,South Asia,SAS,8S,South Asia (excluding high income),LIC,XM,Low income,IDX,XI,IDA,SACSN
NRU,Nauru,EAS,Z4,East Asia and Pacific,EAP,4E,East Asia and Pacific (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,EACNQ
NZL,New Zealand,EAS,Z4,East Asia and Pacific,,,,HIC,XD,High income,LNX,XX,Not classified,EACNQ
OMN,Oman,MEA,ZQ,Middle East and North Africa,,,,HIC,XD,High income,LNX,XX,Not classified,MNC05
PAK,Pakistan,SAS,8S,South Asia,SAS,8S,South Asia (excluding high income),LMC,XN,Lower middle income,IDB,XH,Blend,SACPK
PAN,Panama,LCN,ZJ,Latin America and Caribbean,,,,HIC,XD,High income,IBD,XF,IBRD,LCC2C
PER,Peru,LCN,ZJ,Latin America and Caribbean,LAC,XJ,Latin America and Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,LCC6C
PHL,Philippines,EAS,Z4,East Asia and Pacific,EAP,4E,East Asia and Pacific (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,EACPF
PLW,Palau,EAS,Z4,East Asia and Pacific,,,,HIC,XD,High income,IBD,XF,IBRD,EACNF
PNG,Papua New Guinea,EAS,Z4,East Asia and Pacific,EAP,4E,East Asia and Pacific (excluding high income),LMC,XN,Lower middle income,IDB,XH,Blend,EACNQ
POL,Poland,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,IBD,XF,IBRD,ECCEU
PRI,Puerto Rico,LCN,ZJ,Latin America and Caribbean,,,,HIC,XD,High income,LNX,XX,Not classified,
PRK,"Korea, Dem. People’s Rep.",EAS,Z4,East Asia and Pacific,EAP,4E,East Asia and Pacific (excluding high income),LIC,XM,Low income,LNX,XX,Not classified,EACCF
PRT,Portugal,ECS,Z7,Europe and Central Asia,,,,HIC,XD,High income,LNX,XX,Not classified,
PRY,Paraguay,LCN,ZJ,Latin America and Caribbean,LAC,XJ,Latin America and Caribbean (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,LCC7C
PSE,West Bank and Gaza,MEA,ZQ,Middle East and North Africa,MNA,XQ,Middle East and North Africa (excluding high income),LMC,XN,Lower middle income,LNX,XX,Not classified,MNC04
PYF,French Polynesia,EAS,Z4,East Asia and Pacific,,,,HIC,XD,High income,LNX,XX,Not classified,EAPSG
QAT,Qatar,MEA,ZQ,Middle East and North Africa,,,,HIC,XD,High income,LNX,XX,Not classified,MNC05
ROU,Romania,ECS,Z7,Europe and Central Asia,ECA,7E,Europe and Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,ECCEU
RUS,Russian Federation,ECS,Z7,Europe and Central Asia,ECA,7E,Europe and Central Asia (excluding high income),UMC,XT,Upper middle income,IBD,XF,IBRD,ECCRU
RWA,Rwanda,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LIC,XM,Low income,IDX,XI,IDA,AFCE2
SAU,Saudi Arabia,MEA,ZQ,Middle East and North Africa,,,,HIC,XD,High income,LNX,XX,Not classified,MNC05
SDN,Sudan,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,AFCE3
SEN,Senegal,SSF,ZG,Sub-Saharan Africa,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IDX,XI,IDA,AFCF1
