COUNTRY,SERIES,TIME,Data,SCALE
ARM,SE.LPV.PRIM.LDGAP,YR2015,.1483193188905716,0
ARM,SE.LPV.PRIM.LDGAP.FE,YR2015,.1401924192905426,0
ARM,SE.LPV.PRIM.LDGAP.MA,YR2015,.1545415669679642,0
ARM,SE.LPV.PRIM.LDSEV,YR2015,.0359043590724468,0
ARM,SE.LPV.PRIM.LDSEV.FE,YR2015,.0326795503497124,0
ARM,SE.LPV.PRIM.LDSEV.MA,YR2015,.0383753031492233,0
ARM,SE.LPV.PRIM.LPGAP,YR2015,9.305316999554634,0
ARM,SE.LPV.PRIM.LPGAP.FE,YR2015,9.48960343003273,0
ARM,SE.LPV.PRIM.LPGAP.MA,YR2015,9.14286096394062,0
ARM,SE.LPV.PRIM.LPSEV,YR2015,4.428941972481552,0
ARM,SE.LPV.PRIM.LPSEV.FE,YR2015,4.14206989744911,0
ARM,SE.LPV.PRIM.LPSEV.MA,YR2015,4.645429170742282,0
ARM,SE.LPV.PRIM.MA,YR2015,39.16385650634766,0
ARM,SE.LPV.PRIM.SD,YR2015,9.156997680664063,0
ARM,SE.LPV.PRIM.SD.FE,YR2015,9.349411010742188,0
ARM,SE.LPV.PRIM.SD.MA,YR2015,8.988319396972656,0
ARM,SE.LPV.POP.0516,YR2019,439944.5,0
ARM,SE.LPV.POP.0516.FE,YR2019,208667.5,0
ARM,SE.LPV.POP.0516.MA,YR2019,231277,0
ARM,SE.LPV.POP.10,YR2019,37252.5,0
ARM,SE.LPV.POP.10.FE,YR2019,17611.5,0
ARM,SE.LPV.POP.10.MA,YR2019,19641,0
ARM,SE.LPV.POP.1014,YR2019,171937,0
ARM,SE.LPV.POP.1014.FE,YR2019,81522,0
ARM,SE.LPV.POP.1014.MA,YR2019,90415,0
ARM,SE.LPV.POP.9PLUS,YR2019,75915,0
ARM,SE.LPV.POP.9PLUS.FE,YR2019,35882,0
ARM,SE.LPV.POP.9PLUS.MA,YR2019,40033,0
ARM,SE.LPV.POP.PRIM,YR2019,196742,0
ARM,SE.LPV.POP.PRIM.FE,YR2019,93031,0
ARM,SE.LPV.POP.PRIM.MA,YR2019,103711,0
ARM,SE.LPV.PRIM,YR2019,27.24114608764648,0
ARM,SE.LPV.PRIM.FE,YR2019,25.21571731567383,0
ARM,SE.LPV.PRIM.LD,YR2019,19.90703582763672,0
ARM,SE.LPV.PRIM.LD.FE,YR2019,17.50270652770996,0
ARM,SE.LPV.PRIM.LD.MA,YR2019,22.13623809814453,0
ARM,SE.LPV.PRIM.LDGAP,YR2019,.1112831085920334,0
ARM,SE.LPV.PRIM.LDGAP.FE,YR2019,.1061402633786201,0
ARM,SE.LPV.PRIM.LDGAP.MA,YR2019,.1151094511151314,0
ARM,SE.LPV.PRIM.LDSEV,YR2019,.0208593513816595,0
ARM,SE.LPV.PRIM.LDSEV.FE,YR2019,.0194787699729204,0
ARM,SE.LPV.PRIM.LDSEV.MA,YR2019,.0218996368348598,0
ARM,SE.LPV.PRIM.LPGAP,YR2019,9.268280789256096,0
ARM,SE.LPV.PRIM.LPGAP.FE,YR2019,9.455551274120808,0
ARM,SE.LPV.PRIM.LPGAP.MA,YR2019,9.103428848087788,0
ARM,SE.LPV.PRIM.LPSEV,YR2019,2.924441203402821,0
ARM,SE.LPV.PRIM.LPSEV.FE,YR2019,2.821991859769915,0
ARM,SE.LPV.PRIM.LPSEV.MA,YR2019,2.997862539305934,0
ARM,SE.LPV.PRIM.MA,YR2019,29.1348819732666,0
ARM,SE.LPV.PRIM.SD,YR2019,9.156997680664063,0
ARM,SE.LPV.PRIM.SD.FE,YR2019,9.349411010742188,0
ARM,SE.LPV.PRIM.SD.MA,YR2019,8.988319396972656,0
AUS,SE.LPV.POP.0516,YR2011,3748210,0
AUS,SE.LPV.POP.0516.FE,YR2011,1824090,0
AUS,SE.LPV.POP.0516.MA,YR2011,1924120,0
AUS,SE.LPV.POP.10,YR2011,320113.5,0
AUS,SE.LPV.POP.10.FE,YR2011,155873.5,0
AUS,SE.LPV.POP.10.MA,YR2011,164240,0
AUS,SE.LPV.POP.1014,YR2011,1551917,0
AUS,SE.LPV.POP.1014.FE,YR2011,754877,0
AUS,SE.LPV.POP.1014.MA,YR2011,797040,0
AUS,SE.LPV.POP.9PLUS,YR2011,1579378,0
AUS,SE.LPV.POP.9PLUS.FE,YR2011,768736.5,0
AUS,SE.LPV.POP.9PLUS.MA,YR2011,810641.5,0
AUS,SE.LPV.POP.PRIM,YR2011,2549590.5,0
AUS,SE.LPV.POP.PRIM.FE,YR2011,1241113.5,0
AUS,SE.LPV.POP.PRIM.MA,YR2011,1308477,0
AUS,SE.LPV.PRIM,YR2011,10.32068538665771,0
AUS,SE.LPV.PRIM.FE,YR2011,8.124606132507324,0
AUS,SE.LPV.PRIM.LD,YR2011,7.067200660705566,0
