countrycode,cty_or_agg,year,indicator,value,value_metadata,countryname,regionname
ARG,cty,2006,SE.LPV.POP.1014.FE,1719302,Population Age 1014 for Reference Year 2019; Female,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.POP.1014.MA,1818097,Population Age 1014 for Reference Year 2019; Male,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.POP.9PLUS,1428815.5,Population Age 9plus for Reference Year 2019; ,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.POP.9PLUS.FE,694175.5,Population Age 9plus for Reference Year 2019; Female,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.POP.9PLUS.MA,734640,Population Age 9plus for Reference Year 2019; Male,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.POP.PRIM,5100772.5,Population Age primary for Reference Year 2019; ,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.POP.PRIM.FE,2478309,Population Age primary for Reference Year 2019; Female,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.POP.PRIM.MA,2622463.5,Population Age primary for Reference Year 2019; Male,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.PRIM,55.5289421081543,LP = SD: ANER; LD: LLECES 2006 for grade 6 using MPL III (SERCE scale) for reading; ,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.PRIM.FE,52.87107849121094,LP = SD: ANER; LD: LLECES 2006 for grade 6 using MPL III (SERCE scale) for reading; Female,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.PRIM.LD,55.29671859741211,LD = LLECES 2006 for grade 6 using MPL III (SERCE scale) for reading; ,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.PRIM.LD.FE,52.62497711181641,LD = LLECES 2006 for grade 6 using MPL III (SERCE scale) for reading; Female,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.PRIM.LD.MA,57.91313552856445,LD = LLECES 2006 for grade 6 using MPL III (SERCE scale) for reading; Male,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.PRIM.LDGAP,.1563888043165207,LDGAP: LLECES 2006 for grade 6 using MPL III (SERCE scale) for reading; ,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.PRIM.LDGAP.FE,.1525296419858932,LDGAP: LLECES 2006 for grade 6 using MPL III (SERCE scale) for reading; Female,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.PRIM.LDGAP.MA,.1583519876003265,LDGAP: LLECES 2006 for grade 6 using MPL III (SERCE scale) for reading; Male,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.PRIM.LDSEV,.0389224179089069,LDSEV: LLECES 2006 for grade 6 using MPL III (SERCE scale) for reading; ,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.PRIM.LDSEV.FE,.0368905365467072,LDSEV: LLECES 2006 for grade 6 using MPL III (SERCE scale) for reading; Female,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.PRIM.LDSEV.MA,.0395667590200901,LDSEV: LLECES 2006 for grade 6 using MPL III (SERCE scale) for reading; Male,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.PRIM.LPGAP,.6758666485548019,LPGAP = SD: ANER; LD: LLECES 2006 for grade 6 using MPL III (SERCE scale) for reading; ,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.PRIM.LPGAP.FE,.6720074862241745,LPGAP = SD: ANER; LD: LLECES 2006 for grade 6 using MPL III (SERCE scale) for reading; Female,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.PRIM.LPGAP.MA,.6778298318386078,LPGAP = SD: ANER; LD: LLECES 2006 for grade 6 using MPL III (SERCE scale) for reading; Male,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.PRIM.LPSEV,3.894940363197239,LPSEV = SD: ANER; LD: LLECES 2006 for grade 6 using MPL III (SERCE scale) for reading; ,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.PRIM.LPSEV.FE,3.69175222697726,LPSEV = SD: ANER; LD: LLECES 2006 for grade 6 using MPL III (SERCE scale) for reading; Female,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.PRIM.LPSEV.MA,3.959374474315555,LPSEV = SD: ANER; LD: LLECES 2006 for grade 6 using MPL III (SERCE scale) for reading; Male,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.PRIM.MA,58.13176727294922,LP = SD: ANER; LD: LLECES 2006 for grade 6 using MPL III (SERCE scale) for reading; Male,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.PRIM.SD,.5194778442382813,SD = ANER; ,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.PRIM.SD.FE,.5194778442382813,SD = ANER; Female,Argentina,Latin America and Caribbean
ARG,cty,2006,SE.LPV.PRIM.SD.MA,.5194778442382813,SD = ANER; Male,Argentina,Latin America and Caribbean
ARG,cty,2013,SE.LPV.POP.0516,8557334,Population Age 0516 for Reference Year 2019; ,Argentina,Latin America and Caribbean
ARG,cty,2013,SE.LPV.POP.0516.FE,4160431.5,Population Age 0516 for Reference Year 2019; Female,Argentina,Latin America and Caribbean
ARG,cty,2013,SE.LPV.POP.0516.MA,4396902.5,Population Age 0516 for Reference Year 2019; Male,Argentina,Latin America and Caribbean
ARG,cty,2013,SE.LPV.POP.10,709872.5,Population Age 10 for Reference Year 2019; ,Argentina,Latin America and Caribbean
ARG,cty,2013,SE.LPV.POP.10.FE,344883,Population Age 10 for Reference Year 2019; Female,Argentina,Latin America and Caribbean
ARG,cty,2013,SE.LPV.POP.10.MA,364989.5,Population Age 10 for Reference Year 2019; Male,Argentina,Latin America and Caribbean
ARG,cty,2013,SE.LPV.POP.1014,3537399,Population Age 1014 for Reference Year 2019; ,Argentina,Latin America and Caribbean
ARG,cty,2013,SE.LPV.POP.1014.FE,1719302,Population Age 1014 for Reference Year 2019; Female,Argentina,Latin America and Caribbean
